Disease,Symptom,Medicine
Common Cold,Ear Pain,Ranitidine
Multiple Sclerosis,Vomiting,Losartan
Chickenpox,Sore Throat,Prednisone
Glaucoma,Nausea,Aspirin
Allergy,Itching,Rifampin
Influenza,Fever,Ciprofloxacin
Eczema,Cough,Topiramate
Jaundice,Shortness of breath,Aspirin
Fungal Infection,Headache,Ciprofloxacin
Asthma,Diarrhea,Chloroquine
Chickenpox,Dizziness,Metformin
Peptic Ulcer,Sore Throat,Paracetamol
Pneumonia,Muscle Weakness,Propranolol
Tuberculosis,Runny Nose,Metformin
Malaria,Abdominal Pain,Ciprofloxacin
Malaria,Joint Pain,Chloroquine
Multiple Sclerosis,Weight Loss,Losartan
COVID-19,Diarrhea,Ondansetron
Glaucoma,Swelling,Topiramate
Epilepsy,Headache,Ciprofloxacin
Jaundice,Diarrhea,Azithromycin
Jaundice,Ear Pain,Amoxicillin
Jaundice,Vomiting,Adalimumab
Diabetes,High Blood Pressure,Prednisone
Chronic Kidney Disease,High Blood Pressure,Cetirizine
Epilepsy,Swollen Lymph Nodes,Metformin
Chronic Kidney Disease,Weight Loss,Losartan
Arthritis,Red Eyes,Ranitidine
Peptic Ulcer,Rapid Heartbeat,Hydrocortisone
Chronic Kidney Disease,Vomiting,Isoniazid
Asthma,Fatigue,Sildenafil
Malaria,Chest Pain,Prednisone
Migraine,Joint Pain,Cetirizine
Malaria,Numbness,Isoniazid
Typhoid,Diarrhea,Losartan
Influenza,Joint Pain,Prednisone
Malaria,Swollen Lymph Nodes,Aspirin
Gastroenteritis,Fatigue,Paracetamol
COVID-19,Swollen Lymph Nodes,Propranolol
Allergy,Fever,Sumatriptan
Dengue,Night Sweats,Loratadine
Sinusitis,Dizziness,Azithromycin
COVID-19,Numbness,Levothyroxine
Osteoporosis,Back Pain,Loperamide
COVID-19,Weight Loss,Cetirizine
Migraine,Joint Pain,Terbinafine
Influenza,Red Eyes,Rifampin
Chickenpox,Itching,Budesonide
Influenza,Nausea,Topiramate
Chickenpox,Blurred Vision,Levothyroxine
Chronic Kidney Disease,Cough,Sumatriptan
Urinary Tract Infection,Sore Throat,Chloroquine
Influenza,Loss of Appetite,Ibuprofen
Influenza,Sore Throat,Rifampin
Ulcerative Colitis,Skin Rash,Budesonide
Psoriasis,High Blood Pressure,Cetirizine
Dengue,Cough,Omeprazole
Epilepsy,Ear Pain,Amoxicillin
Diabetes,Shortness of breath,Terbinafine
Dengue,Weight Loss,Chloroquine
Fungal Infection,Back Pain,Omeprazole
COVID-19,Night Sweats,Propranolol
Chickenpox,Numbness,Ranitidine
Bronchitis,Sore Throat,Ibuprofen
Pneumonia,Swelling,Rifampin
Asthma,Vomiting,Ciprofloxacin
Heart Disease,Ear Pain,Topiramate
Ulcerative Colitis,Blurred Vision,Levothyroxine
Glaucoma,Back Pain,Azithromycin
Urinary Tract Infection,Ear Pain,Terbinafine
Influenza,Ear Pain,Ibuprofen
Malaria,Tremors,Paracetamol
Dengue,Numbness,Budesonide
Lung Cancer,Runny Nose,Calamine Lotion
Common Cold,Dizziness,Prednisone
Vertigo,Red Eyes,Paracetamol
Arthritis,Shortness of breath,Calamine Lotion
Malaria,Rapid Heartbeat,Terbinafine
Lung Cancer,Vomiting,Ondansetron
Osteoporosis,Blurred Vision,Ranitidine
Jaundice,Weight Loss,Isoniazid
Epilepsy,Sore Throat,Levothyroxine
Fungal Infection,Sore Throat,Azithromycin
Psoriasis,Numbness,Ondansetron
Hypertension,High Blood Pressure,Sumatriptan
Eczema,Muscle Weakness,Rifampin
Lung Cancer,Weight Loss,Ibuprofen
Whooping Cough,Tremors,Calamine Lotion
Multiple Sclerosis,Rapid Heartbeat,Adalimumab
Urinary Tract Infection,Fever,Losartan
Hepatitis,Night Sweats,Chloroquine
Bronchitis,Chest Pain,Budesonide
Peptic Ulcer,Fatigue,Loperamide
Chronic Kidney Disease,Headache,Doxycycline
Psoriasis,Dizziness,Chloroquine
Hypertension,Headache,Hydrocortisone
Ulcerative Colitis,Muscle Weakness,Levothyroxine
Bronchitis,Dizziness,Loperamide
Lung Cancer,Swollen Lymph Nodes,Rifampin
Diabetes,Sore Throat,Omeprazole
Peptic Ulcer,Abdominal Pain,Sumatriptan
Peptic Ulcer,Diarrhea,Azithromycin
Peptic Ulcer,Red Eyes,Propranolol
Whooping Cough,Loss of Appetite,Metformin
Heart Disease,Headache,Isoniazid
Migraine,Blurred Vision,Chloroquine
Lung Cancer,Muscle Weakness,Adalimumab
COVID-19,Swollen Lymph Nodes,Isoniazid
Typhoid,Loss of Appetite,Doxycycline
Zika Virus,Back Pain,Hydrocortisone
Hepatitis,Tremors,Aspirin
Bronchitis,Numbness,Topiramate
Diabetes,Blurred Vision,Ondansetron
Multiple Sclerosis,Tremors,Calamine Lotion
Influenza,Itching,Topiramate
Urinary Tract Infection,Night Sweats,Loratadine
Typhoid,Diarrhea,Isoniazid
Glaucoma,Fatigue,Sildenafil
Acne,Blurred Vision,Adalimumab
Migraine,Dizziness,Metformin
Hepatitis,Back Pain,Doxycycline
Common Cold,Rapid Heartbeat,Rifampin
Dengue,Shortness of breath,Chloroquine
Chronic Kidney Disease,Swollen Lymph Nodes,Budesonide
Lung Cancer,Abdominal Pain,Omeprazole
Glaucoma,Joint Pain,Glibenclamide
Eczema,Tremors,Sildenafil
Chickenpox,Chest Pain,Isoniazid
Whooping Cough,Nausea,Rifampin
Tuberculosis,Headache,Ciprofloxacin
Migraine,Swollen Lymph Nodes,Topiramate
Influenza,Diarrhea,Metformin
Psoriasis,Runny Nose,Budesonide
Arthritis,Diarrhea,Hydrocortisone
Dengue,Chest Pain,Cetirizine
Sinusitis,Numbness,Propranolol
Sinusitis,Headache,Propranolol
Vertigo,Dizziness,Loratadine
Diabetes,Swollen Lymph Nodes,Isoniazid
Common Cold,Cough,Isoniazid
Allergy,Itching,Chloroquine
Hypertension,Loss of Appetite,Propranolol
Hypertension,Red Eyes,Ciprofloxacin
Chickenpox,Red Eyes,Isoniazid
Lung Cancer,Vomiting,Adalimumab
Bronchitis,Cough,Budesonide
Common Cold,Fatigue,Aspirin
Influenza,Swelling,Rifampin
COVID-19,Tremors,Loratadine
Ulcerative Colitis,Headache,Ranitidine
Urinary Tract Infection,Shortness of breath,Aspirin
Heart Disease,Chest Pain,Sumatriptan
Asthma,Itching,Azithromycin
Epilepsy,Chest Pain,Amoxicillin
Malaria,Shortness of breath,Levothyroxine
Asthma,Fever,Terbinafine
Pneumonia,Chest Pain,Rifampin
Gastroenteritis,Shortness of breath,Terbinafine
Bronchitis,Chest Pain,Doxycycline
Dengue,Ear Pain,Propranolol
Pneumonia,Blurred Vision,Ciprofloxacin
Ulcerative Colitis,Nausea,Glibenclamide
Eczema,Sore Throat,Adalimumab
Arthritis,Swelling,Ranitidine
Tuberculosis,Shortness of breath,Sildenafil
Gastroenteritis,Headache,Rifampin
Psoriasis,Swollen Lymph Nodes,Glibenclamide
Ulcerative Colitis,Chest Pain,Aspirin
Glaucoma,Abdominal Pain,Calamine Lotion
Arthritis,Tremors,Topiramate
Fungal Infection,Dizziness,Propranolol
Chickenpox,Headache,Budesonide
Vertigo,Runny Nose,Losartan
Migraine,Blurred Vision,Sildenafil
Acne,Shortness of breath,Doxycycline
Chickenpox,Night Sweats,Loperamide
Typhoid,Night Sweats,Adalimumab
Eczema,Abdominal Pain,Sildenafil
Vertigo,Diarrhea,Terbinafine
Hepatitis,Sore Throat,Ondansetron
COVID-19,Sore Throat,Hydrocortisone
Hepatitis,Numbness,Ibuprofen
Psoriasis,Skin Rash,Isoniazid
Zika Virus,Back Pain,Adalimumab
Multiple Sclerosis,Ear Pain,Topiramate
Multiple Sclerosis,Joint Pain,Ciprofloxacin
Urinary Tract Infection,Dizziness,Azithromycin
Lung Cancer,Red Eyes,Cetirizine
Asthma,Ear Pain,Doxycycline
Epilepsy,Rapid Heartbeat,Loratadine
Hepatitis,Swelling,Azithromycin
Tuberculosis,Cough,Hydrocortisone
Ulcerative Colitis,Blurred Vision,Amoxicillin
Gastroenteritis,Rapid Heartbeat,Sildenafil
COVID-19,Nausea,Omeprazole
Sinusitis,Itching,Isoniazid
Arthritis,Blurred Vision,Topiramate
Multiple Sclerosis,Abdominal Pain,Loratadine
Tuberculosis,Runny Nose,Rifampin
Acne,Runny Nose,Ciprofloxacin
Multiple Sclerosis,Joint Pain,Prednisone
Whooping Cough,Ear Pain,Topiramate
Osteoporosis,Shortness of breath,Budesonide
Psoriasis,Cough,Calamine Lotion
Common Cold,Itching,Glibenclamide
Hypertension,Blurred Vision,Budesonide
Pneumonia,Diarrhea,Aspirin
Arthritis,Nausea,Rifampin
Allergy,Fatigue,Rifampin
Tuberculosis,Ear Pain,Chloroquine
Peptic Ulcer,Sore Throat,Doxycycline
Tuberculosis,Blurred Vision,Calamine Lotion
Diabetes,Muscle Weakness,Ranitidine
Heart Disease,Fatigue,Isoniazid
Epilepsy,Dizziness,Ondansetron
Heart Disease,Vomiting,Paracetamol
Osteoporosis,Dizziness,Ibuprofen
Acne,Ear Pain,Rifampin
Hepatitis,Loss of Appetite,Losartan
Acne,Joint Pain,Chloroquine
Hepatitis,Shortness of breath,Doxycycline
Migraine,Vomiting,Azithromycin
Asthma,High Blood Pressure,Metformin
Multiple Sclerosis,Tremors,Glibenclamide
Gastroenteritis,Tremors,Isoniazid
Influenza,Diarrhea,Loperamide
Arthritis,High Blood Pressure,Cetirizine
Sinusitis,Vomiting,Topiramate
Chronic Kidney Disease,Blurred Vision,Losartan
Zika Virus,Loss of Appetite,Levothyroxine
Multiple Sclerosis,Sore Throat,Cetirizine
Psoriasis,Rapid Heartbeat,Terbinafine
Multiple Sclerosis,High Blood Pressure,Aspirin
Influenza,Headache,Isoniazid
Gastroenteritis,Numbness,Doxycycline
Acne,Itching,Sildenafil
Common Cold,Vomiting,Calamine Lotion
Bronchitis,Weight Loss,Ranitidine
Epilepsy,Red Eyes,Ciprofloxacin
Asthma,Red Eyes,Ranitidine
Fungal Infection,Swollen Lymph Nodes,Chloroquine
Chronic Kidney Disease,High Blood Pressure,Prednisone
Vertigo,Chest Pain,Omeprazole
Pneumonia,Weight Loss,Chloroquine
Chickenpox,Dizziness,Topiramate
Hepatitis,Headache,Amoxicillin
Common Cold,Sore Throat,Omeprazole
Psoriasis,Vomiting,Amoxicillin
Pneumonia,Night Sweats,Propranolol
Chickenpox,Numbness,Azithromycin
Malaria,Numbness,Amoxicillin
Vertigo,Back Pain,Sildenafil
Glaucoma,Swelling,Doxycycline
Osteoporosis,Sore Throat,Prednisone
Common Cold,Blurred Vision,Topiramate
Influenza,Shortness of breath,Ondansetron
Jaundice,Back Pain,Ondansetron
Hypertension,Diarrhea,Rifampin
Glaucoma,Back Pain,Adalimumab
Malaria,Abdominal Pain,Azithromycin
Fungal Infection,Fever,Topiramate
Eczema,Headache,Levothyroxine
Ulcerative Colitis,Rapid Heartbeat,Topiramate
Allergy,Runny Nose,Sildenafil
Acne,High Blood Pressure,Ranitidine
Dengue,Shortness of breath,Ciprofloxacin
Glaucoma,Skin Rash,Losartan
Bronchitis,Weight Loss,Metformin
Vertigo,Red Eyes,Topiramate
Heart Disease,Night Sweats,Levothyroxine
Glaucoma,Tremors,Doxycycline
Eczema,Red Eyes,Aspirin
Pneumonia,Fever,Propranolol
Zika Virus,Headache,Azithromycin
Malaria,Cough,Budesonide
Eczema,Vomiting,Calamine Lotion
Asthma,Runny Nose,Aspirin
Glaucoma,Tremors,Rifampin
Acne,Vomiting,Azithromycin
Asthma,Cough,Sumatriptan
Influenza,Numbness,Ondansetron
Typhoid,Skin Rash,Glibenclamide
Migraine,Numbness,Ciprofloxacin
COVID-19,Joint Pain,Adalimumab
Fungal Infection,Fatigue,Ondansetron
Tuberculosis,Muscle Weakness,Ibuprofen
Osteoporosis,Back Pain,Terbinafine
Fungal Infection,Vomiting,Isoniazid
Whooping Cough,Weight Loss,Omeprazole
Heart Disease,Blurred Vision,Loperamide
Acne,Blurred Vision,Losartan
Epilepsy,Vomiting,Omeprazole
Multiple Sclerosis,Muscle Weakness,Prednisone
COVID-19,Swelling,Isoniazid
Fungal Infection,Sore Throat,Terbinafine
Gastroenteritis,Shortness of breath,Prednisone
Peptic Ulcer,Skin Rash,Ondansetron
Hypertension,Rapid Heartbeat,Chloroquine
Sinusitis,Nausea,Prednisone
Pneumonia,Sore Throat,Terbinafine
Glaucoma,Rapid Heartbeat,Chloroquine
Eczema,Back Pain,Isoniazid
Glaucoma,Muscle Weakness,Propranolol
Osteoporosis,Rapid Heartbeat,Isoniazid
Typhoid,Shortness of breath,Adalimumab
Hypertension,Rapid Heartbeat,Calamine Lotion
Zika Virus,Ear Pain,Ibuprofen
Eczema,Fatigue,Rifampin
Arthritis,Swelling,Chloroquine
Whooping Cough,Abdominal Pain,Ondansetron
Malaria,Swelling,Rifampin
Glaucoma,Headache,Losartan
Glaucoma,Swollen Lymph Nodes,Terbinafine
Asthma,Swelling,Ibuprofen
Urinary Tract Infection,Rapid Heartbeat,Budesonide
Peptic Ulcer,Loss of Appetite,Losartan
Lung Cancer,Numbness,Loratadine
Fungal Infection,Chest Pain,Paracetamol
Tuberculosis,Swelling,Rifampin
Vertigo,Itching,Sildenafil
Allergy,Blurred Vision,Hydrocortisone
Psoriasis,Headache,Loratadine
Allergy,Joint Pain,Losartan
Sinusitis,Abdominal Pain,Sumatriptan
Vertigo,Fever,Prednisone
Hypertension,Vomiting,Paracetamol
Heart Disease,Shortness of breath,Ciprofloxacin
Acne,Weight Loss,Topiramate
Lung Cancer,Back Pain,Ranitidine
Eczema,Shortness of breath,Propranolol
Jaundice,High Blood Pressure,Cetirizine
Tuberculosis,Night Sweats,Losartan
Tuberculosis,Joint Pain,Calamine Lotion
Common Cold,Blurred Vision,Topiramate
Hepatitis,Headache,Losartan
Gastroenteritis,Swollen Lymph Nodes,Calamine Lotion
Hypertension,Skin Rash,Loratadine
Lung Cancer,Ear Pain,Sumatriptan
Dengue,Rapid Heartbeat,Aspirin
Whooping Cough,Abdominal Pain,Paracetamol
Dengue,Fatigue,Ciprofloxacin
Acne,Runny Nose,Ibuprofen
Urinary Tract Infection,Nausea,Budesonide
Hypertension,Night Sweats,Calamine Lotion
Influenza,Swollen Lymph Nodes,Propranolol
Ulcerative Colitis,Shortness of breath,Losartan
Gastroenteritis,High Blood Pressure,Azithromycin
Dengue,High Blood Pressure,Aspirin
Chronic Kidney Disease,High Blood Pressure,Doxycycline
Hepatitis,Diarrhea,Glibenclamide
Zika Virus,Tremors,Topiramate
Arthritis,Swollen Lymph Nodes,Terbinafine
Lung Cancer,Night Sweats,Hydrocortisone
Acne,Vomiting,Topiramate
Dengue,Numbness,Azithromycin
Heart Disease,Nausea,Hydrocortisone
Whooping Cough,Rapid Heartbeat,Levothyroxine
Asthma,Muscle Weakness,Omeprazole
Pneumonia,Rapid Heartbeat,Calamine Lotion
Urinary Tract Infection,Dizziness,Losartan
Heart Disease,Loss of Appetite,Amoxicillin
Arthritis,Swollen Lymph Nodes,Adalimumab
Glaucoma,Fatigue,Chloroquine
Vertigo,Numbness,Rifampin
Migraine,Itching,Aspirin
Bronchitis,Dizziness,Ibuprofen
Acne,Chest Pain,Propranolol
Epilepsy,Headache,Hydrocortisone
COVID-19,Swelling,Ranitidine
Bronchitis,Weight Loss,Sumatriptan
Asthma,Runny Nose,Ranitidine
Influenza,Nausea,Loratadine
Bronchitis,Weight Loss,Cetirizine
COVID-19,Shortness of breath,Omeprazole
Eczema,Numbness,Paracetamol
Peptic Ulcer,Itching,Loratadine
Vertigo,Ear Pain,Isoniazid
Psoriasis,Tremors,Aspirin
Pneumonia,Fever,Paracetamol
Glaucoma,Shortness of breath,Topiramate
Pneumonia,Fatigue,Ibuprofen
Urinary Tract Infection,High Blood Pressure,Topiramate
Bronchitis,Vomiting,Sildenafil
Dengue,Weight Loss,Aspirin
Chickenpox,Tremors,Losartan
Glaucoma,Nausea,Ciprofloxacin
Vertigo,Nausea,Doxycycline
COVID-19,Chest Pain,Ciprofloxacin
Eczema,Swollen Lymph Nodes,Hydrocortisone
Psoriasis,Nausea,Ondansetron
Urinary Tract Infection,Fever,Sumatriptan
Lung Cancer,Swelling,Sildenafil
Fungal Infection,Numbness,Ibuprofen
Lung Cancer,Weight Loss,Terbinafine
Glaucoma,Headache,Paracetamol
Chickenpox,Swelling,Losartan
Influenza,Headache,Rifampin
Fungal Infection,Swelling,Loperamide
Jaundice,Muscle Weakness,Omeprazole
Migraine,Night Sweats,Chloroquine
Allergy,Fever,Metformin
Malaria,Chest Pain,Cetirizine
Pneumonia,Back Pain,Ibuprofen
Osteoporosis,Swollen Lymph Nodes,Aspirin
Influenza,Fever,Ondansetron
Hypertension,Numbness,Terbinafine
Asthma,Cough,Glibenclamide
Eczema,Headache,Sildenafil
Hepatitis,Night Sweats,Levothyroxine
Jaundice,Blurred Vision,Azithromycin
Ulcerative Colitis,High Blood Pressure,Ibuprofen
Lung Cancer,Back Pain,Propranolol
Whooping Cough,Back Pain,Propranolol
Vertigo,Blurred Vision,Hydrocortisone
Jaundice,Loss of Appetite,Doxycycline
Dengue,Abdominal Pain,Sildenafil
Common Cold,Tremors,Loratadine
Bronchitis,Dizziness,Calamine Lotion
Heart Disease,Muscle Weakness,Cetirizine
Hepatitis,Chest Pain,Topiramate
Vertigo,Loss of Appetite,Calamine Lotion
Osteoporosis,Ear Pain,Prednisone
Jaundice,Swelling,Levothyroxine
Diabetes,Ear Pain,Loratadine
Sinusitis,Swelling,Sildenafil
Psoriasis,Dizziness,Ciprofloxacin
Allergy,Abdominal Pain,Budesonide
Urinary Tract Infection,Loss of Appetite,Ciprofloxacin
Hepatitis,Weight Loss,Losartan
Influenza,Loss of Appetite,Ondansetron
Chronic Kidney Disease,Abdominal Pain,Losartan
Glaucoma,High Blood Pressure,Doxycycline
Tuberculosis,Joint Pain,Glibenclamide
COVID-19,Swelling,Calamine Lotion
Typhoid,Weight Loss,Ciprofloxacin
Asthma,Fever,Isoniazid
Eczema,Weight Loss,Terbinafine
Osteoporosis,Numbness,Propranolol
Diabetes,Night Sweats,Azithromycin
Sinusitis,Runny Nose,Glibenclamide
Typhoid,Headache,Doxycycline
Typhoid,Loss of Appetite,Losartan
Chickenpox,Runny Nose,Terbinafine
Vertigo,Diarrhea,Isoniazid
Lung Cancer,Fatigue,Budesonide
Tuberculosis,Swollen Lymph Nodes,Metformin
Gastroenteritis,Fever,Isoniazid
Acne,Rapid Heartbeat,Metformin
Influenza,Loss of Appetite,Paracetamol
Lung Cancer,Abdominal Pain,Sumatriptan
Common Cold,Diarrhea,Cetirizine
Pneumonia,Cough,Glibenclamide
Typhoid,Rapid Heartbeat,Loperamide
Typhoid,Joint Pain,Azithromycin
Ulcerative Colitis,Red Eyes,Losartan
Eczema,Loss of Appetite,Rifampin
Whooping Cough,Red Eyes,Ibuprofen
Jaundice,Blurred Vision,Budesonide
Chronic Kidney Disease,Abdominal Pain,Loratadine
Hepatitis,Rapid Heartbeat,Ciprofloxacin
Bronchitis,Loss of Appetite,Calamine Lotion
Typhoid,Skin Rash,Chloroquine
Tuberculosis,Tremors,Doxycycline
Sinusitis,Headache,Adalimumab
Migraine,High Blood Pressure,Aspirin
Influenza,Fever,Topiramate
Zika Virus,Nausea,Hydrocortisone
Diabetes,Runny Nose,Amoxicillin
Arthritis,Swelling,Ibuprofen
Diabetes,Skin Rash,Propranolol
Malaria,Swollen Lymph Nodes,Budesonide
Heart Disease,Sore Throat,Sumatriptan
Influenza,Fatigue,Azithromycin
Osteoporosis,Ear Pain,Levothyroxine
Glaucoma,Red Eyes,Omeprazole
Epilepsy,Fever,Ibuprofen
Jaundice,Headache,Ondansetron
Ulcerative Colitis,Dizziness,Cetirizine
Gastroenteritis,Sore Throat,Rifampin
Epilepsy,Swelling,Ibuprofen
Whooping Cough,Numbness,Glibenclamide
Asthma,Fatigue,Ranitidine
Multiple Sclerosis,Chest Pain,Paracetamol
Epilepsy,Fatigue,Glibenclamide
Acne,Runny Nose,Levothyroxine
Pneumonia,Swelling,Ranitidine
Chronic Kidney Disease,Night Sweats,Azithromycin
Urinary Tract Infection,Vomiting,Ranitidine
Fungal Infection,Rapid Heartbeat,Levothyroxine
Malaria,Fatigue,Hydrocortisone
Migraine,Back Pain,Topiramate
Urinary Tract Infection,Back Pain,Omeprazole
Chickenpox,Sore Throat,Ciprofloxacin
Jaundice,Joint Pain,Adalimumab
Jaundice,Swollen Lymph Nodes,Chloroquine
Zika Virus,Weight Loss,Sumatriptan
Pneumonia,Swelling,Ranitidine
Diabetes,Diarrhea,Glibenclamide
Bronchitis,Rapid Heartbeat,Levothyroxine
Dengue,Skin Rash,Adalimumab
Urinary Tract Infection,Swollen Lymph Nodes,Ondansetron
Vertigo,Ear Pain,Amoxicillin
COVID-19,Headache,Hydrocortisone
Bronchitis,Joint Pain,Cetirizine
Chickenpox,Chest Pain,Budesonide
Zika Virus,Weight Loss,Levothyroxine
Eczema,Chest Pain,Ciprofloxacin
Migraine,Headache,Doxycycline
Lung Cancer,Numbness,Omeprazole
Fungal Infection,Headache,Azithromycin
Malaria,Swollen Lymph Nodes,Isoniazid
Arthritis,Numbness,Metformin
Glaucoma,Loss of Appetite,Amoxicillin
Diabetes,Night Sweats,Terbinafine
Heart Disease,Tremors,Doxycycline
Typhoid,Sore Throat,Isoniazid
Sinusitis,Vomiting,Topiramate
Whooping Cough,Dizziness,Metformin
Acne,Muscle Weakness,Ibuprofen
COVID-19,Muscle Weakness,Terbinafine
Chronic Kidney Disease,Swollen Lymph Nodes,Metformin
Bronchitis,Shortness of breath,Losartan
Peptic Ulcer,Rapid Heartbeat,Loratadine
Pneumonia,Abdominal Pain,Isoniazid
Psoriasis,Itching,Glibenclamide
Multiple Sclerosis,Night Sweats,Propranolol
Influenza,Loss of Appetite,Omeprazole
Asthma,Joint Pain,Isoniazid
Acne,Headache,Prednisone
Vertigo,Diarrhea,Loratadine
Zika Virus,Headache,Topiramate
Chickenpox,Swollen Lymph Nodes,Azithromycin
Jaundice,Sore Throat,Chloroquine
Multiple Sclerosis,Ear Pain,Cetirizine
Arthritis,Red Eyes,Calamine Lotion
Urinary Tract Infection,Rapid Heartbeat,Isoniazid
Asthma,Headache,Isoniazid
Hepatitis,Tremors,Topiramate
Chronic Kidney Disease,Weight Loss,Adalimumab
Asthma,Ear Pain,Terbinafine
Typhoid,Shortness of breath,Glibenclamide
Allergy,Tremors,Terbinafine
Diabetes,Diarrhea,Amoxicillin
Fungal Infection,Itching,Metformin
Gastroenteritis,Ear Pain,Azithromycin
Glaucoma,Numbness,Azithromycin
COVID-19,Joint Pain,Amoxicillin
Jaundice,Red Eyes,Prednisone
Gastroenteritis,Back Pain,Isoniazid
Migraine,Chest Pain,Chloroquine
Dengue,Diarrhea,Cetirizine
Gastroenteritis,Weight Loss,Chloroquine
Hepatitis,Red Eyes,Topiramate
Typhoid,Tremors,Doxycycline
Influenza,Rapid Heartbeat,Ibuprofen
Arthritis,Back Pain,Topiramate
Migraine,Back Pain,Cetirizine
COVID-19,Red Eyes,Prednisone
Chronic Kidney Disease,Ear Pain,Cetirizine
Sinusitis,Runny Nose,Ranitidine
Sinusitis,Ear Pain,Paracetamol
Jaundice,Tremors,Cetirizine
Heart Disease,Dizziness,Calamine Lotion
Asthma,Fever,Calamine Lotion
Asthma,Headache,Hydrocortisone
Typhoid,Muscle Weakness,Chloroquine
Migraine,Night Sweats,Adalimumab
Zika Virus,Ear Pain,Budesonide
Lung Cancer,Itching,Omeprazole
Lung Cancer,Shortness of breath,Omeprazole
Multiple Sclerosis,Dizziness,Propranolol
Hepatitis,Rapid Heartbeat,Doxycycline
Common Cold,Joint Pain,Ciprofloxacin
Allergy,Joint Pain,Azithromycin
Arthritis,Numbness,Omeprazole
Sinusitis,Cough,Levothyroxine
Asthma,Joint Pain,Doxycycline
COVID-19,Skin Rash,Losartan
Influenza,Weight Loss,Chloroquine
Psoriasis,Skin Rash,Budesonide
Allergy,Runny Nose,Budesonide
Typhoid,Tremors,Ondansetron
Jaundice,Itching,Losartan
Typhoid,Vomiting,Ondansetron
Zika Virus,Swelling,Cetirizine
Chickenpox,Shortness of breath,Cetirizine
Ulcerative Colitis,Joint Pain,Levothyroxine
Peptic Ulcer,Headache,Aspirin
Osteoporosis,Weight Loss,Ciprofloxacin
Vertigo,Muscle Weakness,Sumatriptan
Arthritis,Diarrhea,Cetirizine
Urinary Tract Infection,Chest Pain,Terbinafine
Peptic Ulcer,Chest Pain,Ranitidine
Epilepsy,Dizziness,Calamine Lotion
Dengue,Dizziness,Metformin
Psoriasis,Vomiting,Omeprazole
Diabetes,Itching,Ibuprofen
Tuberculosis,Nausea,Propranolol
Heart Disease,Numbness,Ibuprofen
Chickenpox,Nausea,Hydrocortisone
Ulcerative Colitis,Headache,Topiramate
Whooping Cough,Red Eyes,Topiramate
Psoriasis,Chest Pain,Budesonide
Pneumonia,Muscle Weakness,Cetirizine
Allergy,Tremors,Chloroquine
Urinary Tract Infection,Joint Pain,Ciprofloxacin
Common Cold,Sore Throat,Amoxicillin
Heart Disease,Fever,Ranitidine
Typhoid,Fever,Chloroquine
Jaundice,Red Eyes,Hydrocortisone
Peptic Ulcer,Headache,Glibenclamide
Ulcerative Colitis,Muscle Weakness,Rifampin
Gastroenteritis,Fever,Amoxicillin
Lung Cancer,Numbness,Cetirizine
Glaucoma,Fever,Isoniazid
Asthma,Blurred Vision,Ondansetron
Acne,Weight Loss,Azithromycin
Epilepsy,Fatigue,Rifampin
Osteoporosis,Fatigue,Losartan
Lung Cancer,Blurred Vision,Loperamide
Allergy,Tremors,Losartan
Common Cold,Runny Nose,Levothyroxine
Allergy,Shortness of breath,Loratadine
Osteoporosis,Back Pain,Budesonide
Allergy,Loss of Appetite,Sildenafil
Typhoid,Shortness of breath,Calamine Lotion
Multiple Sclerosis,Abdominal Pain,Metformin
Dengue,Abdominal Pain,Adalimumab
Common Cold,High Blood Pressure,Isoniazid
Allergy,Red Eyes,Topiramate
Whooping Cough,Dizziness,Doxycycline
Vertigo,Chest Pain,Propranolol
Typhoid,Tremors,Glibenclamide
Epilepsy,Chest Pain,Budesonide
Glaucoma,Headache,Sildenafil
Psoriasis,Cough,Ranitidine
Heart Disease,Ear Pain,Ciprofloxacin
Malaria,Sore Throat,Prednisone
Osteoporosis,Rapid Heartbeat,Adalimumab
Migraine,Blurred Vision,Sumatriptan
Diabetes,Red Eyes,Amoxicillin
Migraine,Tremors,Ondansetron
Fungal Infection,Night Sweats,Sumatriptan
Allergy,Chest Pain,Loratadine
Arthritis,Diarrhea,Loperamide
Malaria,Red Eyes,Omeprazole
Dengue,Back Pain,Levothyroxine
Vertigo,Abdominal Pain,Terbinafine
Ulcerative Colitis,Back Pain,Loratadine
Fungal Infection,Rapid Heartbeat,Glibenclamide
Asthma,Nausea,Ondansetron
Pneumonia,Swollen Lymph Nodes,Cetirizine
Typhoid,Loss of Appetite,Rifampin
Peptic Ulcer,Tremors,Amoxicillin
Typhoid,Back Pain,Ibuprofen
Sinusitis,Night Sweats,Hydrocortisone
Chickenpox,Fatigue,Aspirin
Psoriasis,Night Sweats,Doxycycline
Ulcerative Colitis,Loss of Appetite,Prednisone
Arthritis,Chest Pain,Paracetamol
Glaucoma,Rapid Heartbeat,Paracetamol
Whooping Cough,Fatigue,Loperamide
Multiple Sclerosis,Muscle Weakness,Amoxicillin
Zika Virus,Tremors,Chloroquine
COVID-19,Rapid Heartbeat,Metformin
Heart Disease,Swollen Lymph Nodes,Levothyroxine
Peptic Ulcer,Red Eyes,Loratadine
Malaria,Swelling,Losartan
Vertigo,Weight Loss,Loperamide
Typhoid,Itching,Ibuprofen
